Longitude,Latitude,Number_of_Casualties,Number_of_Vehicles,Speed_limit,Weather_Conditions,Vehicle_Type,DateTime
-2.957143,54.260381,4,3,60,Fine no high winds,Car,2005-12-28 15:23:00
-2.957143,54.260381,4,3,60,Fine no high winds,Car,2005-12-28 15:23:00
-2.855127,53.757902,4,2,50,Fine no high winds,Car,2005-01-21 15:35:00
-2.855127,53.757902,4,2,50,Fine no high winds,Car,2005-01-21 15:35:00
-3.027004,53.833315,1,2,30,Fine no high winds,Goods vehicle,2005-01-24 11:13:00
-3.027004,53.833315,1,2,30,Fine no high winds,Pedal cycle,2005-01-24 11:13:00
-2.999051,53.750587,1,1,30,Fine no high winds,Car,2005-12-15 16:30:00
-3.028364,53.826832,2,4,30,Fine no high winds,Car,2005-12-22 17:57:00
-3.028364,53.826832,2,4,30,Fine no high winds,Car,2005-12-22 17:57:00
-3.028364,53.826832,2,4,30,Fine no high winds,Car,2005-12-22 17:57:00
-2.820449,53.86196,1,1,30,Fine no high winds,Car,2005-01-10 06:45:00
-2.954922,53.890987,2,2,60,Fine no high winds,Car,2005-01-29 15:18:00
-2.744519,53.876028,2,1,70,Fine no high winds,Car,2005-02-03 21:32:00
-2.804101,54.095403,1,1,40,Fine no high winds,Car,2005-02-24 15:48:00
-2.744298,53.880703,1,3,70,Fine no high winds,Goods vehicle,2005-03-01 09:58:00
-2.744298,53.880703,1,3,70,Fine no high winds,Car,2005-03-01 09:58:00
-2.744298,53.880703,1,3,70,Fine no high winds,Goods vehicle,2005-03-01 09:58:00
-2.744639,53.874229,1,2,70,Raining no high winds,Car,2005-02-25 17:59:00
-2.744639,53.874229,1,2,70,Raining no high winds,Goods vehicle,2005-02-25 17:59:00
-2.733472,53.818391,2,1,40,Fine no high winds,Car,2005-03-29 14:22:00
-2.846051,54.067972,1,1,30,Fine no high winds,Car,2005-06-17 12:02:00
-2.862888,54.039809,1,1,50,Fog or mist,Car,2005-11-21 09:50:00
-2.834596,53.892783,1,2,60,Fine + high winds,Goods vehicle,2005-05-08 13:08:00
-2.834596,53.892783,1,2,60,Fine + high winds,Pedal cycle,2005-05-08 13:08:00
-3.00052,53.850617,1,3,30,Fine no high winds,Car,2005-05-19 08:00:00
-3.00052,53.850617,1,3,30,Fine no high winds,Goods vehicle,2005-05-19 08:00:00
-2.774737,53.930844,1,1,50,Fine no high winds,Car,2005-05-27 02:20:00
-2.748979,53.895774,2,2,70,Fine no high winds,Car,2005-08-14 12:54:00
-2.748979,53.895774,2,2,70,Fine no high winds,Goods vehicle,2005-08-14 12:54:00
-3.028058,53.901169,1,2,30,Fine no high winds,Car,2005-08-20 22:30:00
-2.756636,53.873166,1,1,30,Fine no high winds,Pedal cycle,2005-09-22 16:55:00
-2.712591,53.939498,2,2,60,Fine no high winds,Pedal cycle,2005-09-25 11:13:00
-2.712591,53.939498,2,2,60,Fine no high winds,Pedal cycle,2005-09-25 11:13:00
-2.72263,53.69136,2,2,60,Fine no high winds,Car,2005-01-06 12:25:00
-2.72263,53.69136,2,2,60,Fine no high winds,Car,2005-01-06 12:25:00
-2.885271,53.568202,1,1,30,Raining no high winds,Goods vehicle,2005-01-20 16:15:00
-2.809842,53.698353,2,3,60,Fine no high winds,Car,2005-01-27 07:40:00
-2.809842,53.698353,2,3,60,Fine no high winds,Goods vehicle,2005-01-27 07:40:00
-2.572206,53.721655,2,2,60,Fine no high winds,Car,2005-02-02 18:25:00
-2.572206,53.721655,2,2,60,Fine no high winds,Car,2005-02-02 18:25:00
-2.607538,53.649484,3,4,70,Fine no high winds,Goods vehicle,2005-03-08 19:45:00
-2.607538,53.649484,3,4,70,Fine no high winds,Car,2005-03-08 19:45:00
-2.607538,53.649484,3,4,70,Fine no high winds,Car,2005-03-08 19:45:00
